iter	MAPE	RMSE	R2	MAE
132	0.1237680304	293100.1277	0.9854659595	146969.3527
133	0.1228440305	292411.266	0.9855341968	146478.1805
134	0.1223896941	290681.9702	0.98570479	145647.8296
135	0.1222642576	289880.2517	0.9857835354	145413.4142
136	0.1218663034	288506.2774	0.9859179824	144495.6892
137	0.1217880732	288177.1357	0.9859500949	144180.5443
138	0.1217562734	286978.5594	0.9860667236	143976.9102
139	0.1215662096	286790.4007	0.9860849885	143854.8148
140	0.1212635341	285834.4645	0.9861775975	142957.3808
141	0.1203107129	285203.987	0.9862385076	142252.8014
142	0.1198828364	284816.8501	0.986275842	141918.741
143	0.1196951777	283601.5072	0.986392717	141399.9202
144	0.1192718771	282922.6671	0.9864577809	140669.7322
145	0.1192597924	281379.0488	0.9866051497	140495.741
146	0.1191356298	280927.6686	0.9866480905	140195.7514
147	0.1188386964	280156.6655	0.9867212783	139888.7245
148	0.1187290903	279475.4934	0.9867857715	139637.0316
149	0.1185643408	279061.0359	0.9868249354	139385.1601
150	0.1179178039	278742.3674	0.9868550082	138844.209
151	0.1174166709	278278.5739	0.9868987152	138410.4132
152	0.1169614221	277548.5075	0.9869673677	137696.852
153	0.1162183055	277046.6826	0.9870144527	137223.5684
154	0.1156880299	276737.9268	0.9870433802	136987.551
155	0.1156538813	276531.6171	0.9870626914	136841.2663
156	0.1153240913	275584.3693	0.9871511721	136349.3388
157	0.114404321	275138.4741	0.9871927172	135724.9396
158	0.1142550832	274056.1271	0.9872932823	135367.6037
159	0.1136245717	272449.0055	0.9874418749	134234.208
160	0.1135883016	271710.9907	0.9875098182	134079.1764
161	0.113343023	271200.6179	0.9875566964	133752.0132
162	0.1132273471	270598.7805	0.9876118624	133390.3411
163	0.1126824826	269755.1337	0.9876889871	132743.9804
164	0.1126105968	269262.9624	0.9877338693	132483.0766
165	0.1122682579	268658.1031	0.9877889155	131926.8527
166	0.1121178363	267915.524	0.9878563258	131669.8352
167	0.1116641246	267319.5465	0.9879102929	131306.5752
168	0.1112598295	266664.3961	0.9879694795	130715.9478
169	0.1110811197	266250.7651	0.9880067723	130498.7877
170	0.110511314	265686.7072	0.9880575343	129999.1556
171	0.1101988378	264082.539	0.9882013118	129466.3887
172	0.1102744963	263758.7938	0.9882302227	129429.0575
173	0.1099198525	263386.528	0.9882634227	129029.9998
174	0.1099684576	263151.2419	0.9882843821	128989.6921
175	0.1093877011	262681.2218	0.9883261958	128700.2664
176	0.1092243921	262304.9613	0.9883596146	128499.3684
177	0.1084767111	262097.0465	0.9883780607	127992.4913
178	0.1085578063	261534.4114	0.988427904	127799.3825
179	0.1078111338	258742.6762	0.9886736369	126688.0694
180	0.1075791182	258169.8719	0.9887237299	126369.2881
181	0.1075332778	257941.2061	0.9887436963	126207.0607
182	0.1074594322	257437.3703	0.9887876272	126024.6887
183	0.1072931599	257086.2485	0.9888181917	125913.4487
184	0.1071518245	256450.8699	0.9888733942	125529.983
185	0.1070836263	255590.9389	0.9889478885	125282.2557
186	0.1069662928	255340.9557	0.9889694972	125040.0381
187	0.1069566458	255102.0597	0.9889901277	124937.0546
188	0.1066400845	254876.2442	0.9890096109	124830.3564
189	0.106352373	254251.9909	0.9890633812	124348.0124
190	0.1062255157	253971.2012	0.9890875241	124100.5092
191	0.1060852314	253748.8476	0.9891066237	124029.6986
192	0.1058997065	253292.796	0.9891457449	123731.4089
193	0.1054137501	252919.6269	0.9891777038	123422.9572
194	0.1052810686	252505.9521	0.9892130767	123159.27
195	0.1052276692	252104.3068	0.9892473656	123001.1325
196	0.1048378986	251894.7156	0.9892652369	122744.15
197	0.1046307565	251516.9497	0.9892974106	122513.7661
198	0.1044140736	251002.8951	0.9893411142	122116.1859
199	0.1041591884	250570.8214	0.9893777788	121808.0354
200	0.1040298977	250036.082	0.9894230678	121624.3787
201	0.1036660695	249660.1078	0.9894548525	121145.9183
202	0.1036768422	249078.8897	0.9895038944	121062.527
203	0.1032668267	248640.4067	0.9895408169	120772.8575
204	0.1033004709	248286.8888	0.9895705376	120772.3921
205	0.1031464604	247931.732	0.9896003535	120475.7696
206	0.1030210418	247486.1264	0.9896377023	120324.3504
207	0.102907313	247109.8595	0.9896691871	120045.4067
208	0.1027476007	246878.1626	0.9896885509	119842.6069
209	0.1024192887	246541.2993	0.9897166715	119489.1855
210	0.1022957802	246014.4776	0.9897605724	119324.1529
211	0.1020282639	245479.2446	0.989805078	118655.3364
212	0.1019521825	245204.629	0.9898278752	118580.1237
213	0.101480875	244965.1147	0.9898477377	118263.0676
214	0.1013891036	244556.1788	0.989881605	118022.7049
215	0.100992541	244177.7136	0.9899128984	117568.2481
216	0.1006411195	243857.7903	0.9899393135	117364.3639
217	0.1004467406	243290.1404	0.9899860973	116799.087
218	0.1003492717	243119.89	0.9900001075	116651.0966
219	0.1000710001	242847.1404	0.9900225321	116448.3727
220	0.1000556346	242553.0114	0.9900466863	116382.6678
221	0.09968326669	242336.8188	0.9900644216	115946.2337
222	0.09956469707	242019.9114	0.9900903904	115689.465
223	0.09950801112	241791.5054	0.9901090859	115581.5812
224	0.09951841134	241655.7003	0.9901201935	115576.5668
225	0.09945698124	241232.9701	0.9901547289	115334.3833
226	0.09924078707	241037.5351	0.9901706748	115207.6663
227	0.09911943205	240613.3355	0.9902052414	114796.8263
228	0.098990262	240036.4116	0.9902521553	114664.0221
229	0.09897893949	239540.1791	0.9902924175	114513.562
